1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
483	-0.964070	218.852893	0.022075	1.8
484	-0.723324	218.628352	0.014986	3.6
485	-0.801546	218.404424	0.009251	2.9
486	-0.774069	218.181106	0.029012	1.7
487	-0.973332	217.958397	0.009206	3.0
488	0.000000	217.736292	0.000000	1.4
489	-0.529424	217.514790	0.009341	3.4
490	-0.084008	217.293888	0.002880	2.9
491	-0.367001	217.073584	0.005320	2.0
492	-0.000012	216.853873	0.000000	2.1
493	-0.004565	216.634755	0.000277	3.5
494	0.000000	216.416227	0.000000	2.0
495	-0.383589	216.198285	0.005696	2.9
496	-0.583865	215.980927	0.008838	3.2
497	-0.100186	215.764151	0.004243	1.8
498	-0.977310	215.547955	0.020601	3.6
499	-0.580861	215.332335	0.006695	3.3
500	-0.770551	215.117289	0.012963	2.4
501	-0.000000	214.902815	0.000000	2.8
502	-0.899094	214.688911	0.007022	3.3
503	-0.809479	214.475573	0.013543	2.0
504	-0.680527	214.262800	0.026450	3.2
505	0.000000	214.050588	0.000000	2.6
506	-0.879237	213.838936	0.033241	3.2
507	-0.529378	213.627842	0.003514	3.1
508	-0.405303	213.417302	0.005577	3.1
509	-0.001447	213.207314	0.001736	2.6
510	-0.582901	212.997877	0.006843	2.8
511	0.000000	212.788987	0.000000	1.9
512	0.000000	212.580642	0.000000	2.9
513	0.000000	212.372841	0.000000	1.7
514	-0.025639	212.165581	0.004153	3.3
515	-0.687423	211.958859	0.008337	1.9
516	-0.227692	211.752673	0.003989	2.7
517	-0.093132	211.547021	0.005191	2.2
518	-0.600717	211.341902	0.009010	1.9
519	-0.044537	211.137311	0.000503	3.2
520	-0.012430	210.933248	0.002658	2.2
521	-0.355475	210.729710	0.006532	1.8
522	-0.839954	210.526695	0.009292	3.9
523	-0.498099	210.324200	0.020069	1.8
524	-0.242595	210.122224	0.003156	2.7
525	-0.139774	209.920765	0.003201	2.6
526	-0.788131	209.719820	0.023163	1.8
527	-0.281234	209.519387	0.004324	2.0
528	-0.529337	209.319463	0.009415	3.0
529	0.000000	209.120048	0.000000	2.6
530	0.000000	208.921139	0.000000	1.8
