1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
232	-0.599207	99.670254	10.960928	0.012367	0.8
233	-0.599013	100.665214	10.871291	0.020329	0.9
234	-0.589184	101.665214	10.782665	0.012408	1.1
235	-0.587466	102.665214	10.695473	0.030272	1.4
236	-0.579143	102.158264	10.739498	0.011615	0.8
237	-0.582015	103.158264	10.652999	0.018260	1.2
238	-0.594545	104.158263	10.567883	0.011868	0.9
239	-0.558490	105.158262	10.484117	0.009978	0.9
240	-0.591298	104.651313	10.526415	0.019324	0.9
241	-0.561725	104.144484	10.569047	0.013000	1.4
242	-0.583108	105.144483	10.485262	0.014324	0.8
243	-0.591153	104.637534	10.527570	0.018751	1.3
244	-0.561439	105.637534	10.444438	0.016971	1.1
245	-0.582489	105.131234	10.486363	0.011538	0.9
246	-0.529125	106.131228	10.403879	0.014889	0.8
247	-0.549046	105.894540	10.423285	0.014748	1.4
248	-0.584252	105.387696	10.465085	0.014063	1.0
249	-0.582626	104.880747	10.507230	0.025243	0.8
250	-0.614656	104.373896	10.549707	0.010891	1.2
251	-0.575844	103.866946	10.592538	0.017617	0.9
252	-0.590751	103.359998	10.635718	0.022087	0.9
253	-0.593054	102.853048	10.679252	0.021543	0.8
254	-0.579476	103.853048	10.593717	0.019036	1.9
255	-0.584378	103.346520	10.636871	0.020557	0.9
256	-0.570076	104.346520	10.552011	0.029495	0.8
257	-0.592775	103.839571	10.594861	0.012891	2.0
258	-0.594826	104.839571	10.510668	0.014526	1.0
259	-0.561560	104.332621	10.553182	0.012982	1.0
260	-0.580670	105.314129	10.471180	0.017906	1.5
261	-0.584154	106.304896	10.389686	0.008985	1.0
262	-0.560468	107.285801	10.310244	0.009264	0.9
263	-0.585108	106.778853	10.351149	0.013581	2.1
264	-0.608418	106.271904	10.392379	0.021456	1.2
265	-0.557926	105.764955	10.433940	0.023510	0.9
266	-0.607213	106.764955	10.352275	0.010235	0.9
267	-0.574961	106.380571	10.383514	0.012793	1.7
268	-0.587280	106.328006	10.387801	0.026341	0.8
269	-0.557602	105.821056	10.429324	0.019793	1.3
270	-0.584340	106.821056	10.347731	0.014082	0.9
271	-0.594091	107.821056	10.267405	0.018794	1.2
272	-0.575157	107.314137	10.307967	0.011756	1.0
273	-0.570293	108.312514	10.228383	0.026732	1.0
274	-0.585708	109.312514	10.149892	0.013042	1.0
275	-0.568204	110.312513	10.072596	0.022184	1.2
276	-0.556551	111.312513	9.996469	0.013632	0.8
277	-0.559382	112.312513	9.921484	0.008473	1.7
278	-0.570657	111.906631	9.951783	0.011370	0.8
279	-0.565276	112.904615	9.877613	0.017180	1.6
280	-0.560913	112.397671	9.915150	0.012358	0.8
281	-0.546027	111.890721	9.952974	0.020854	0.9
282	-0.558697	111.392167	9.990455	0.018087	1.1
283	-0.560216	110.885218	10.028857	0.011721	1.2
284	-0.539696	110.378268	10.067555	0.016655	0.8
285	-0.574918	111.364134	9.992570	0.015745	1.5
286	-0.577519	110.866501	10.030280	0.018568	1.1
287	-0.569760	110.362405	10.068771	0.018916	0.8
288	-0.546313	109.855455	10.107778	0.014645	0.9
